Item,Description,Preferred Vendor,Size_Matched_Text,Height,Width,Depth,MERV,MERV Value,Classification
2040W-3PLY-2,20x40 3 Ply Poly Panel,,20x40,20.0,40.0,,,,air_filter
Air Filtration Log/Sheet Book,"To ensure the Title 22 Code of Regulations Compliance- AFC provides a written record of inspection, cleaning and/or replacement.  Log book/binder includes; Technical Regulations & Procedures; detailed filter information, log sheets to all filters AFC w...",,,,,,,,air_filter
CI-M145P-12204-,12x20x4 MERV 15 Mini Pleat Plastic Frame,"Columbus Industries, Inc.",12x20x4,12.0,20.0,4.0,MERV 15,15.0,air_filter
F-CUBE-V2424-CV,Pre-filter Carbon cube for 24x24x12 V4-Bank Filters,AFC Manufacturing,24x24x12,24.0,24.0,12.0,,,air_filter
012-100093,"Down Stream Gasketing, Neoprene",Caldwell Gasket,,,,,,,stock_item
012-100096,Upstream Gasketing,Caldwell Gasket,,,,,,,stock_item
012-SCE-.25,"Sponge, SCE41, 0.25"" thick ...25"" x.492 x 22.625""L",Caldwell Gasket,".25"" x.492 x 22.625",0.25,0.492,22.625,,,stock_item
013-100093-N,"Filter Gasketing Neoprene 22 7/8"" x 1/4"" x 1/2"" Cut Strips","Wetzel Technologies Co., Ltd","22 7/8"" x 1/4"" x 1/2""",22.875,0.25,0.5,,,air_filter
01ME01-30820106,HILCO OIL MIST ELIMINATOR..(HILCO DWG #3082-01-006-C),Hilliard Corporation,,,,,,,stock_item
07-4000-18,"V-MOD, 18"" Single Lamp","UVDI UltraViolet Devices, Inc.",,,,,,,stock_item
07-4001-24,"V-MOD, 24"" Single Lamp","UVDI UltraViolet Devices, Inc.",,,,,,,stock_item
07-4002-36,"V-MOD, 36"" Single Lamp","UVDI UltraViolet Devices, Inc.",,,,,,,stock_item
07-4040-01-MT,"Lamp, 21"" V-MAX / V-MAX Grid Encapsulated","UVDI UltraViolet Devices, Inc.",,,,,,,stock_item
07-4040-02-MT,"Lamp, 33"" V-MAX / V-MAX Grid Encapsulated","UVDI UltraViolet Devices, Inc.",,,,,,,stock_item
10014-056,"HILCO REPAIR KIT - 2"" E STYLE VALVE",Hilliard Corporation,,,,,,,sales_item
10014-062,"HILCO REPAIR KIT - 3"" E STYLE VALVE",Hilliard Corporation,,,,,,,sales_item
10014-096,"Soft Goods Repair Kit..O-Rings, Pads, & Stem.. HILCO Transfer Valve Model F-20B-150P-001",Hilliard Corporation,,,,,,,sales_item
10014-SER,"Soft Goods Repair Kit..O-Rings, Pads, Stem, Handle, Pin & Spring..HILCO Transfer Valve Model F-20B-150P-001..",Hilliard Corporation,,,,,,,sales_item
1010-2ply,10x10 2-Ply Poly Panel,M.L. Filters,10x10,10.0,10.0,,,,air_filter
1010-3ply,10x10 3-Ply Poly Panel,M.L. Filters,10x10,10.0,10.0,,,,air_filter
1012-3ply,10x12 3-Ply Poly Panel,M.L. Filters,10x12,10.0,12.0,,,,air_filter
1020-2ply,10x20 2-Ply Poly Panel,M.L. Filters,10x20,10.0,20.0,,,,air_filter
1020-3ply,10x20 3-Ply Poly Panel,M.L. Filters,10x20,10.0,20.0,,,,air_filter
1025-3ply,10x25 3-Ply Poly Panel,M.L. Filters,10x25,10.0,25.0,,,,air_filter
1030-3ply,10x30 3-Ply Poly Panel,M.L. Filters,10x30,10.0,30.0,,,,air_filter
1040-2ply,10x40 2-Ply Poly Panel,M.L. Filters,10x40,10.0,40.0,,,,air_filter
1080-2ply,10x80 2-Ply Poly Panel,M.L. Filters,10x80,10.0,80.0,,,,air_filter
1142-2ply,11x42 MZP 2-Ply Poly Panel,M.L. Filters,11x42,11.0,42.0,,,,air_filter
12.24.2 Nova Pleat,12x24x2 NovaPleat No Wire,Commercial Filters Sales,12x24x2,12.0,24.0,2.0,,,air_filter
1212-2Ply,12x12 2-Ply Panel,M.L. Filters,12x12,12.0,12.0,,,,air_filter
1212-3Ply,12x12 3-Ply Panel,M.L. Filters,12x12,12.0,12.0,,,,air_filter
12120-2ply,12x120 2-Ply Poly Panel,M.L. Filters,12x120,12.0,120.0,,,,air_filter
12120-3ply,12x120 3-Ply Poly Panel,M.L. Filters,12x120,12.0,120.0,,,,air_filter
1212W-2Ply-P,"12""  x 12""   2 Ply Panel Filter",M.L. Filters,"12""  x 12""",12.0,12.0,,,,air_filter
12144-2PLY-6L,12x144 2 Ply Poly Panel,M.L. Filters,12x144,12.0,144.0,,,,air_filter
12144-3PLY-6L,12x144 3 Ply Poly Panel,M.L. Filters,12x144,12.0,144.0,,,,air_filter
1218-2ply,12x18 2-Ply Poly Panel,M.L. Filters,12x18,12.0,18.0,,,,air_filter
1218-3ply,12x18 3-Ply Poly Panel,M.L. Filters,12x18,12.0,18.0,,,,air_filter
1218-5050WW-P,12x18 2-Ply Panel,M.L. Filters,12x18,12.0,18.0,,,,air_filter
1220-2ply,12x20 2-Ply Poly Panel,M.L. Filters,12x20,12.0,20.0,,,,air_filter
1220-3ply,12x20 3-Ply Poly Panel,M.L. Filters,12x20,12.0,20.0,,,,air_filter
1224-2ply,12x24 2-Ply Poly Panel,M.L. Filters,12x24,12.0,24.0,,,,air_filter
1224-3ply,12x24 3-Ply Poly Panel,M.L. Filters,12x24,12.0,24.0,,,,air_filter
1224W-3PLY-P,12x24 3 Ply Poly Panel,M.L. Filters,12x24,12.0,24.0,,,,air_filter
1238-2ply,12x38 2-Ply Poly Panel,M.L. Filters,12x38,12.0,38.0,,,,air_filter
1243-2ply,12x43 2-Ply Poly Panel,M.L. Filters,12x43,12.0,43.0,,,,air_filter
1243-3ply,12x43 3-Ply Poly Panel,M.L. Filters,12x43,12.0,43.0,,,,air_filter
1248W-2PLY-P,12x48 2 Ply Poly Panel,M.L. Filters,12x48,12.0,48.0,,,,air_filter
1248W-3PLY-P,12x48 3 Ply Poly Panel,M.L. Filters,12x48,12.0,48.0,,,,air_filter
1272-2Ply,12x72 2-Ply Poly Panel,M.L. Filters,12x72,12.0,72.0,,,,air_filter
1272-3Ply,12x72 3-Ply Poly Panel Special,M.L. Filters,12x72,12.0,72.0,,,,air_filter
1296-2ply,12x96 2-Ply Poly Panel Special,M.L. Filters,12x96,12.0,96.0,,,,air_filter
1296-3Ply,12x96 3-Ply Poly Panel Special,M.L. Filters,12x96,12.0,96.0,,,,air_filter
1321-2ply,13x21 2-Ply Poly Panel,M.L. Filters,13x21,13.0,21.0,,,,air_filter
1321-3ply,13x21 3-Ply Poly Panel,M.L. Filters,13x21,13.0,21.0,,,,air_filter
1322-2ply,13x22 2-Ply Poly Panel,M.L. Filters,13x22,13.0,22.0,,,,air_filter
1322-3ply,13x22 3-Ply Poly Panel,M.L. Filters,13x22,13.0,22.0,,,,air_filter
1324-2ply,13x24-3/4 2-Ply Poly Panel,M.L. Filters,13x24-3/4,13.0,24.75,,,,air_filter
14.20.2 Nova Pleat,14x20x2 NovaPleat No Wire,Commercial Filters Sales,14x20x2,14.0,20.0,2.0,,,air_filter
14.25.1 Nova Pleat,14x25x1 NovaPleat No Wire,Commercial Filters Sales,14x25x1,14.0,25.0,1.0,,,air_filter
1414-2ply,14x14 2-Ply Poly Panel,M.L. Filters,14x14,14.0,14.0,,,,air_filter
1414-3ply,14x14 3-Ply Poly Panel,M.L. Filters,14x14,14.0,14.0,,,,air_filter
1419-2ply,14x19 2-Ply Poly Panel,M.L. Filters,14x19,14.0,19.0,,,,air_filter
1419-3ply,14x19 3-Ply Poly Panel,M.L. Filters,14x19,14.0,19.0,,,,air_filter
1420-2ply,14x20 2-Ply Poly Panel,M.L. Filters,14x20,14.0,20.0,,,,air_filter
1420-3ply,14x20 3-Ply Poly Panel,M.L. Filters,14x20,14.0,20.0,,,,air_filter
1420-5050WW-P,14x20 Poly Panel 2 Ply,M.L. Filters,14x20,14.0,20.0,,,,air_filter
1424-2ply,14x24 2-Ply Poly Panel,M.L. Filters,14x24,14.0,24.0,,,,air_filter
1424-3ply,14x24 3-Ply Poly Panel,M.L. Filters,14x24,14.0,24.0,,,,air_filter
