Active Status,Type,Item,Description,Preferred Vendor,Height,Width,Depth,MERV,MERV Value,Classification,Category_ID,
Not-active,Service,2040W-3PLY-2,20x40 3 Ply Poly Panel,M.L. Filters,20,40,,,8,f,14,
Active,Service,Sales Air Filtration Log/Sheet Book,credit,MISC,,,,,,s,16,
Not-active,Service,CI-M145P-12204-,12x20x4 MERV 15 Mini Pleat Plastic Frame,"Columbus Industries, Inc.",12,20,4,MERV 15,15,f,13,
Not-active,Service,F-CUBE-V2424-CV,Pre-filter Carbon cube for 24x24x12 V4-Bank Filters,AFC Manufacturing,24,24,12,,,f,4,
Active,Inventory Part,012-100093,"Down Stream Gasketing, Neoprene",Caldwell Gasket,,,,,,a,16,
Active,Inventory Part,012-100096,Upstream Gasketing,Caldwell Gasket,,,,,,a,16,
Active,Inventory Part,012-SCE-.25,"Sponge, SCE41, 0.25"" thick ...25"" x.492 x 22.625""L",Caldwell Gasket,0.25,0.492,22.625,,,a,16,
Not-active,Inventory Part,013-100093-N,"Filter Gasketing Neoprene 22 7/8"" x 1/4"" x 1/2"" Cut Strips","Wetzel Technologies Co., Ltd",22.875,0.25,0.5,,,a,16,
Active,Inventory Part,01ME01-30820106,HILCO OIL MIST ELIMINATOR..(HILCO DWG #3082-01-006-C),Hilliard Corporation,,,,,,a,16,
Active,Inventory Part,07-4000-18,"V-MOD, 18"" Single Lamp","UVDI UltraViolet Devices, Inc.",18,,,,,a,16,
Active,Inventory Part,07-4001-24,"V-MOD, 24"" Single Lamp","UVDI UltraViolet Devices, Inc.",24,,,,,a,16,
Active,Inventory Part,07-4002-36,"V-MOD, 36"" Single Lamp","UVDI UltraViolet Devices, Inc.",36,,,,,a,16,
Active,Inventory Part,07-4040-01-MT,"Lamp, 21"" V-MAX / V-MAX Grid Encapsulated","UVDI UltraViolet Devices, Inc.",21,,,,,a,16,
Active,Inventory Part,07-4040-02-MT,"Lamp, 33"" V-MAX / V-MAX Grid Encapsulated","UVDI UltraViolet Devices, Inc.",33,,,,,a,16,
