Item,Description,Preferred Vendor #,height,width,depth,Category #,merv_rating
1010-2ply,10x10 2-Ply Poly Panel,4,10,10,,14,5
1010-3ply,10x10 3-Ply Poly Panel,4,10,10,,14,12
1012-3ply,10x12 3-Ply Poly Panel,4,10,12,,14,12
1020-2ply,10x20 2-Ply Poly Panel,4,10,20,,14,14
1020-3ply,10x20 3-Ply Poly Panel,4,10,20,,14,1
1025-3ply,10x25 3-Ply Poly Panel,4,10,25,,14,4
1030-3ply,10x30 3-Ply Poly Panel,4,10,30,,14,16
1040-2ply,10x40 2-Ply Poly Panel,4,10,40,,14,6
1080-2ply,10x80 2-Ply Poly Panel,4,10,80,,14,13
1142-2ply,11x42 MZP 2-Ply Poly Panel,4,11,42,,14,7
1212-2Ply,12x12 2-Ply Panel,4,12,12,,14,10
1212-3Ply,12x12 3-Ply Panel,4,12,12,,14,6
12120-2ply,12x120 2-Ply Poly Panel,4,12,120,,14,7
12120-3ply,12x120 3-Ply Poly Panel,4,12,120,,14,4
1212W-2Ply-P,"12""  x 12""   2 Ply Panel Filter",4,12,12,,14,12
12144-2PLY-6L,12x144 2 Ply Poly Panel,4,12,144,,14,11
12144-3PLY-6L,12x144 3 Ply Poly Panel,4,12,144,,14,5
1218-2ply,12x18 2-Ply Poly Panel,4,12,18,,14,9
1218-3ply,12x18 3-Ply Poly Panel,4,12,18,,14,5
1218-5050WW-P,12x18 2-Ply Panel,4,12,18,,14,5
1220-2ply,12x20 2-Ply Poly Panel,4,12,20,,14,3
1220-3ply,12x20 3-Ply Poly Panel,4,12,20,,14,10
1224-2ply,12x24 2-Ply Poly Panel,4,12,24,,14,3
1224-3ply,12x24 3-Ply Poly Panel,4,12,24,,14,5
1224W-3PLY-P,12x24 3 Ply Poly Panel,4,12,24,,14,7
1238-2ply,12x38 2-Ply Poly Panel,4,12,38,,14,15
1243-2ply,12x43 2-Ply Poly Panel,4,12,43,,14,4
1243-3ply,12x43 3-Ply Poly Panel,4,12,43,,14,8
1248W-2PLY-P,12x48 2 Ply Poly Panel,4,12,48,,14,6
1248W-3PLY-P,12x48 3 Ply Poly Panel,4,12,48,,14,7
1272-2Ply,12x72 2-Ply Poly Panel,4,12,72,,14,11
1272-3Ply,12x72 3-Ply Poly Panel Special,4,12,72,,14,10
1296-2ply,12x96 2-Ply Poly Panel Special,4,12,96,,14,4
1296-3Ply,12x96 3-Ply Poly Panel Special,4,12,96,,14,1
1321-2ply,13x21 2-Ply Poly Panel,4,13,21,,14,12
1321-3ply,13x21 3-Ply Poly Panel,4,13,21,,14,2
1322-2ply,13x22 2-Ply Poly Panel,4,13,22,,14,5
1322-3ply,13x22 3-Ply Poly Panel,4,13,22,,14,11
1324-2ply,13x24-3/4 2-Ply Poly Panel,4,13,24.75,,14,2
1414-2ply,14x14 2-Ply Poly Panel,4,14,14,,14,11
1414-3ply,14x14 3-Ply Poly Panel,4,14,14,,14,5
1419-2ply,14x19 2-Ply Poly Panel,4,14,19,,14,7
1419-3ply,14x19 3-Ply Poly Panel,4,14,19,,14,14
1420-2ply,14x20 2-Ply Poly Panel,4,14,20,,14,13
1420-3ply,14x20 3-Ply Poly Panel,4,14,20,,14,3
1420-5050WW-P,14x20 Poly Panel 2 Ply,4,14,20,,14,9
1424-2ply,14x24 2-Ply Poly Panel,4,14,24,,14,9
1424-3ply,14x24 3-Ply Poly Panel,4,14,24,,14,8
1425-2ply,14x25 2-Ply Poly Panel,4,14,25,,14,13
1425-3ply,14x25 3-Ply Poly Panel,4,14,25,,14,4
1428-2ply,14x28 2-Ply Poly Panel,4,14,28,,14,15
1428-3ply,14x28 3-Ply Poly Panel,4,14,28,,14,10
1430-3Ply,14x30 3-Ply Poly Panel,4,14,30,,14,10
1438-2ply,14x38 2-Ply Poly Panel,4,14,38,,14,6
1438-3ply,14x38 3-Ply Poly Panel,4,14,38,,14,16
1444-2ply,14x44 2-Ply Poly Panel,4,14,44,,14,3
1444-3ply,14x44 3-Ply Poly Panel,4,14,44,,14,2
1520-2ply,15x20 2-Ply Poly Panel,4,15,20,,14,12
1520-3ply,15x20 3-Ply Poly Panel,4,15,20,,14,15
1520-5050WW-P,15x20 2-Ply Panel,4,15,20,,14,4
1525-3ply,15x25 3-Ply Poly Panel,4,15,25,,14,6
1530-2Ply,15x30 2-Ply Poly Panel,4,15,30,,14,8
1530-3Ply,15x30 3-Ply Poly Panel,4,15,30,,14,16
15305/8-2Ply,15x30 5/8 2-Ply Poly Panel,4,15,30.625,,14,8
15305/8-3Ply,15x30 -5/8 3-Ply Poly Panel,4,15,30.625,,14,14
1530W-2PLY P,"15""x30"" 2 PLY PANEL FILTER",4,15,30,,14,11
1531-3Ply,15x31 3-Ply Poly Panel,4,15,31,,14,1
1534-2ply,15x34 2-Ply Poly Panel,4,15,34,,14,14
16100-2Ply,16x100 2-Ply Poly Panel,4,16,100,,14,7
1616-2Ply,16x16 2-Ply Poly Panel,4,16,16,,14,6
1616-3Ply,16x16 3-Ply Poly Panel,4,16,16,,14,13
1618-3Ply,16x18 3-Ply Poly Panel,4,16,18,,14,8
1618-5050WW-P,16x18 Poly Panels 2 ply,4,16,18,,14,11
1620-2Ply,16x20 2-Ply Poly Panels,4,16,20,,14,5
1620-2Ply FB Gold Panel,16x20 2-Ply Gold Panel,6,16,20,,14,9
1620-3Ply,16x20 3-Ply Poly Panel,4,16,20,,14,14
1622-2Ply,16x22 2-Ply Poly Panel,4,16,22,,14,6
1622-3Ply,16x22 3-Ply Poly Panel,4,16,22,,14,14
1622-5050WW-P,16x22 2-Ply Panel,4,16,22,,14,1
1624-2ply,16x24 2-Ply Poly Panel,4,16,24,,14,1
1624-3Ply,16x24 3-Ply Poly Panel,4,16,24,,14,11
1625-2Ply,16x25 2-Ply Poly Panel,4,16,25,,14,10
1625-3Ply,16x25 3-Ply Poly Panel,4,16,25,,14,3
1628-2ply,16x28 2-Ply Poly Panel,4,16,28,,14,15
1630-2Ply,16x30 2-Ply Poly Panel,4,16,30,,14,4
1630-3Ply,16x30 3-Ply Poly Panel,4,16,30,,14,2
1631-3Ply,16x31 3-Ply Poly Panel,4,16,31,,14,4
1632-2ply,16x32 2-Ply Poly Panel,4,16,32,,14,16
1632-2PLY-2L,16x32 2 Ply Poly Panel,4,16,32,,14,15
1632-3ply,16x32 3 Ply Poly Panel,4,16,32,,14,4
1636-2ply,16x36 2-Ply Poly Panel,4,16,36,,14,15
1640-3ply,16x40 3-Ply Poly Panel,4,16,40,,14,12
1650-2ply,16x50 2-Ply Poly Panel,4,16,50,,14,1
1650-3ply,16x50 3-Ply Poly Panel,4,16,50,,14,10
1651-2Ply,16.5x51.5 2-Ply Poly Panels,4,16.5,51.5,,14,1
1672-2ply,16x72 2-Ply Poly Panel,4,16,72,,14,16
1672-3ply,16x72 3-Ply Poly Panel,4,16,72,,14,13
1675-2PLY-3L,16x75 MZP 2-Ply Poly Panel,4,16,75,,14,5
1680-2Ply,16x80 2-Ply Poly Panel,4,16,80,,14,9
1680-3Ply,16x80 3-Ply Poly Panel,4,16,80,,14,12
16x32 Poly Panel,16x32 Poly Panel,4,16,32,,14,3
1718-5050WW-P,17x18 Poly Panels 2 Ply,4,17,18,,14,11
1818-3ply,18x18 3-Ply Poly Panel,4,18,18,,14,8
1822-3Ply,18x22 3-Ply Poly Panel,4,18,22,,14,16
1822-5050WW-P,18x22 Poly Panel 2 Ply,4,18,22,,14,4
1824-3ply,18x24 3-Ply Poly Panel,4,18,24,,14,13
1825-3ply,18x25 3-Ply Poly Panel,4,18,25,,14,16
1828-5050-G/W,18x28 Poly Panels 2 Ply,4,18,28,,14,8
1830-2Ply,18x30 2-Ply Panel,4,18,30,,14,7
